Shp_No;Delivery_day;Plant;Ship-to2;Pallets;GWkg;TT;TT2
557780;02.01.2008;DE17;10105266;1.59;1035.293;GRP;TL
557780;02.01.2008;DE17;10105268;0.3;48.472;GRP;SG
557780;02.01.2008;DE17;10105269;1.12;734.266;GRP;SG
557780;02.01.2008;DE17;10105270;3.03;1364.497;GRP;TL
557780;02.01.2008;DE17;10105271;1.27;1007.89;GRP;TL
557780;02.01.2008;DE17;10105288;4;1359.84;GRP;TL
557780;02.01.2008;DE17;10106076;0.5;68.4;GRP;SG
557780;02.01.2008;DE17;10106078;0.86;171.1;GRP;SG
557780;02.01.2008;DE17;10106156;1.87;487.74;GRP;SG
557780;02.01.2008;DE17;10106182;0.72;366.84;GRP;SG
557780;02.01.2008;DE17;10106927;6.11;792.11;GRP;SG
557780;02.01.2008;DE17;10106935;2.5;721.2;GRP;SG
557780;02.01.2008;DE17;10107227;0.86;230.41;GRP;SG
557780;02.01.2008;DE17;10107542;10;2040;GRP;TL
557780;02.01.2008;DE17;10107704;2.35;457.59;GRP;SG
557780;02.01.2008;DE17;10145178;1.23;919.32;GRP;SG
557780;02.01.2008;DE17;10156490;1.76;1120.451;GRP;TL
557780;02.01.2008;DE17;10201629;2.5;667.2;GRP;SG
557781;02.01.2008;DE14;10100170;2.81;1395.756;GRP;TL
557781;02.01.2008;DE14;10101993;0.25;135;GRP;SG
557782;02.01.2008;DE14;10099515;1.6;800.967;GRP;SG
557782;02.01.2008;DE14;10099536;0.46;531.8;GRP;SG
557782;02.01.2008;DE14;10099543;3.38;597;GRP;SG
557782;02.01.2008;DE14;10099573;11.97;6832.63;DIR;TL
557782;02.01.2008;DE14;10099640;2.33;1271.6;GRP;TL
557782;02.01.2008;DE14;10099641;0.2;231.4;GRP;SG
557782;02.01.2008;DE14;10102265;1.17;522.25;GRP;SG
557782;02.01.2008;DE14;10104365;3.5;618;GRP;SG
557782;02.01.2008;DE14;10105793;6.18;1733.2;GRP;TL
557782;02.01.2008;DE14;10107869;0.31;277.7;GRP;SG
557793;02.01.2008;DE14;10102854;2.11;591.64;GRP;SG
557793;02.01.2008;DE14;10103217;0.87;183.962;GRP;SG
557793;02.01.2008;DE14;10104969;0.76;381.68;GRP;SG
557793;02.01.2008;DE14;10105278;3.94;2226.259;GRP;TL
557793;02.01.2008;DE14;10106936;1.54;168.08;GRP;SG
557793;02.01.2008;DE14;10108039;5.29;3937.832;DIR;TL
557799;02.01.2008;DE14;10099236;1.83;438.86;GRP;SG
557799;02.01.2008;DE14;10099361;4.16;2644.415;GRP;TL
557799;02.01.2008;DE14;10106831;3.81;2245.751;GRP;TL
557799;02.01.2008;DE14;10107681;3.27;1613.916;GRP;TL
557799;02.01.2008;DE14;10127137;2.44;392.096;GRP;SG
557800;02.01.2008;DE14;10099251;1.07;154.616;GRP;SG
557800;02.01.2008;DE14;10103243;0.2;148.8;GRP;SG
557800;02.01.2008;DE14;10108133;2.32;429.076;GRP;SG
557802;02.01.2008;DE14;10104377;40.3;17341.46;DIR;KL
557812;02.01.2008;DE14;10099272;3.94;1594.064;GRP;TL
