Shp_No;Delivery_day;Plant;Ship-to2;Pallets;GWkg;TT;TT2
569982;29.01.2008;DE17;10105737;10.01;3872.861;DIR;TL
569982;29.01.2008;DE17;10106014;1.61;885.662;GRP;SG
569983;29.01.2008;DE17;10099414;2;820.8;GRP;SG
569983;29.01.2008;DE17;10099574;4.36;1404.836;GRP;TL
569983;29.01.2008;DE17;10100114;4.59;1685.597;GRP;TL
569983;29.01.2008;DE17;10100115;3.52;1929.544;GRP;TL
569983;29.01.2008;DE17;10106415;3.77;1043.68;GRP;TL
569983;29.01.2008;DE17;10210631;0.25;144.32;GRP;SG
569984;29.01.2008;DE14;10099407;33;5987.3;DIR;TL
569985;29.01.2008;DE14;10099650;60;19641.6;DIR;KL
569987;29.01.2008;DE14;10099536;2.95;1506.965;GRP;TL
569987;29.01.2008;DE14;10099640;3.21;1451.759;GRP;TL
569987;29.01.2008;DE14;10100164;1.74;845.465;GRP;SG
569988;29.01.2008;DE14;10105622;8.36;3968.744;DIR;TL
569988;29.01.2008;DE14;10105722;5.81;2868.389;GRP;TL
569989;29.01.2008;DE14;10099608;5.66;3187.359;DIR;TL
569989;29.01.2008;DE14;10099610;4.58;2014.328;GRP;TL
569989;29.01.2008;DE14;10099619;0.3;316.4;GRP;SG
569989;29.01.2008;DE14;10101284;2.52;1249.766;GRP;TL
569989;29.01.2008;DE14;10102007;0.3;316.4;GRP;SG
569989;29.01.2008;DE14;10105123;0.3;316.4;GRP;SG
569989;29.01.2008;DE14;10105623;3.35;1960.941;GRP;TL
569989;29.01.2008;DE14;10105720;0.3;316.4;GRP;SG
569990;29.01.2008;DE14;10103285;33;16105.434;DIR;KL
569991;29.01.2008;DE14;10103264;45.04;13169.24;DIR;KL
569992;29.01.2008;DE14;10099999;3.98;1611.083;GRP;TL
569992;29.01.2008;DE14;10100137;3.05;1755.422;GRP;TL
569992;29.01.2008;DE14;10100158;2.1;1030.388;GRP;TL
569992;29.01.2008;DE14;10101307;0.46;327.715;GRP;SG
569992;29.01.2008;DE14;10102325;1.81;269.1;GRP;SG
569992;29.01.2008;DE14;10108152;1.43;173.98;GRP;SG
569993;29.01.2008;DE14;10099535;5.31;2656.901;GRP;TL
569993;29.01.2008;DE14;10099606;2.97;1501.598;GRP;TL
569993;29.01.2008;DE14;10099607;0.3;316.4;GRP;SG
569993;29.01.2008;DE14;10101306;0.89;162.65;GRP;SG
569993;29.01.2008;DE14;10104811;5.17;559.24;GRP;SG
569993;29.01.2008;DE14;10105833;0.15;74.74;GRP;SG
569993;29.01.2008;DE14;10108495;0.7;160.97;GRP;SG
569993;29.01.2008;DE14;10208010;0.27;108.36;GRP;SG
569994;29.01.2008;DE14;10099641;1.67;858.495;GRP;SG
569994;29.01.2008;DE14;10101253;1.65;813.574;GRP;SG
569994;29.01.2008;DE14;10101993;1.66;701.53;GRP;SG
569994;29.01.2008;DE14;10102292;2.74;1237.046;GRP;TL
569994;29.01.2008;DE14;10107928;2.8;1281.21;GRP;TL
569995;29.01.2008;DE14;10099300;3.32;1560.115;GRP;TL
569995;29.01.2008;DE14;10099572;4.03;1821.139;GRP;TL
569995;29.01.2008;DE14;10099847;1.31;506;GRP;SG
569995;29.01.2008;DE14;10100076;0.53;237.1;GRP;SG
569995;29.01.2008;DE14;10100383;3.08;2169.728;GRP;TL
569995;29.01.2008;DE14;10101100;0.89;153.74;GRP;SG
569995;29.01.2008;DE14;10101739;1.24;149.19;GRP;SG
569995;29.01.2008;DE14;10104034;0.98;264.57;GRP;SG
569995;29.01.2008;DE14;10104067;2.04;1266.398;GRP;TL
569995;29.01.2008;DE14;10104575;0.31;168;GRP;SG
569995;29.01.2008;DE14;10106382;4.49;1682.851;GRP;TL
569995;29.01.2008;DE14;10186756;0.73;487.59;GRP;SG
570132;29.01.2008;DE14;10108184;58;16070.73;DIR;KL
570146;29.01.2008;DE14;10099233;3.71;1328.19;GRP;TL
570147;29.01.2008;DE14;10100286;3.31;1829.452;GRP;TL
570147;29.01.2008;DE14;10107115;5.19;1391.46;GRP;TL
570148;29.01.2008;DE14;10108184;20;8364;DIR;TL
570149;29.01.2008;DE14;10108184;53;18416.68;DIR;KL
570193;29.01.2008;DE14;10108184;48;16373.268;DIR;KL
570199;29.01.2008;DE12;10106687;37;20601.6;DIR;KL
570230;29.01.2008;DE14;10106687;50;17763.12;DIR;KL
570264;29.01.2008;DE14;10188442;48.75;17880.542;DIR;KL
570323;29.01.2008;DE14;10107640;62;16687.16;DIR;KL
570388;29.01.2008;DE14;10107640;58;20538.48;DIR;KL
570523;29.01.2008;DE14;10099450;32;4377.6;DIR;TL
570592;29.01.2008;DE17;10099450;24.25;3317.4;DIR;TL
570597;29.01.2008;DE12;10102968;17;2325.6;GRP;TL
570702;29.01.2008;DE17;10105288;37.75;12763.76;DIR;KL
570753;29.01.2008;DE17;10099428;48.19;18996.868;DIR;KL
570753;29.01.2008;DE17;10106542;1.06;232.4;GRP;SG
569601;30.01.2008;DE12;10099279;38;21158.4;DIR;KL
569602;30.01.2008;DE12;10105467;37;20463.6;DIR;KL
569819;30.01.2008;DE12;10105467;48.81;20736.404;DIR;KL
569821;30.01.2008;DE12;10127482;48.19;19401.578;DIR;KL
569960;30.01.2008;DE12;10104284;39.56;21451.6;DIR;KL
570073;30.01.2008;DE12;10159848;57.31;18196.088;DIR;KL
570079;30.01.2008;DE12;10104377;40;16692.148;DIR;KL
570123;30.01.2008;DE12;10106136;9;3215.24;DIR;TL
570123;30.01.2008;DE12;10107515;41;15183.84;DIR;KL
570125;30.01.2008;DE12;10099284;62;20812;DIR;KL
570129;30.01.2008;DE12;10099471;54.2;20816.296;DIR;KL
570165;30.01.2008;DE12;10188442;38;21319.776;DIR;KL
570182;30.01.2008;DE12;10107812;44.61;21105.08;DIR;KL
570186;30.01.2008;DE12;10099446;49;20518.354;DIR;KL
570197;30.01.2008;DE12;10103132;49.32;20382.03;DIR;KL
570198;30.01.2008;DE12;10099474;56;20184.268;DIR;KL
570200;30.01.2008;DE14;10108473;66;15858.92;DIR;KL
570221;30.01.2008;DE12;10099447;47.6;20132.76;DIR;KL
570240;30.01.2008;DE14;10102192;32.5;3549;DIR;TL
570241;30.01.2008;DE12;10099428;42;20024.89;DIR;KL
570252;30.01.2008;DE14;10102854;1.5;170.5;GRP;SG
570252;30.01.2008;DE14;10103031;1.11;196.2;GRP;SG
570252;30.01.2008;DE14;10105278;3.78;1233.177;GRP;TL
570259;30.01.2008;DE14;10102866;0.8;174.5;GRP;SG
570259;30.01.2008;DE14;10103075;1.67;328.07;GRP;SG
570259;30.01.2008;DE14;10104229;3.08;1027.48;GRP;TL
570263;30.01.2008;DE12;10106695;44;17916.446;DIR;KL
570269;30.01.2008;DE14;10102192;32.25;3521.7;DIR;TL
570276;30.01.2008;DE12;10108473;53;20881.1;DIR;KL
570286;30.01.2008;DE14;10100235;1.57;765.548;GRP;SG
570287;30.01.2008;DE14;10099956;1.49;733.754;GRP;SG
570287;30.01.2008;DE14;10102187;4.44;1706.958;GRP;TL
570287;30.01.2008;DE14;10107621;3.76;1096.52;GRP;TL
570288;30.01.2008;DE14;10099601;1.8;385.494;GRP;SG
570288;30.01.2008;DE14;10099625;4.21;1840.064;GRP;TL
570288;30.01.2008;DE14;10100209;4;796.4;GRP;SG
570288;30.01.2008;DE14;10100279;3.58;686.09;GRP;SG
570288;30.01.2008;DE14;10101216;0.34;59.35;GRP;SG
570288;30.01.2008;DE14;10106310;0.74;231;GRP;SG
570288;30.01.2008;DE14;10108630;2.59;578.94;GRP;SG
570302;30.01.2008;DE14;10101862;4.81;2105.719;GRP;TL
570310;30.01.2008;DE12;10099592;55;20310.78;DIR;KL
570311;30.01.2008;DE14;10101747;1.25;188.46;GRP;SG
570311;30.01.2008;DE14;10101780;5.34;2395.919;GRP;TL
570311;30.01.2008;DE14;10103187;7.91;5423.464;DIR;TL
570311;30.01.2008;DE14;10105902;0.63;99.58;GRP;SG
570311;30.01.2008;DE14;10106099;0.25;106.13;GRP;SG
570311;30.01.2008;DE14;10106971;0.74;164.19;GRP;SG
570311;30.01.2008;DE14;10107382;0.71;212.46;GRP;SG
570311;30.01.2008;DE14;10107561;0.16;13.17;GRP;SG
570311;30.01.2008;DE14;10107850;0.5;77.6;GRP;SG
570312;30.01.2008;DE14;10101616;0.06;43.3;GRP;SG
570312;30.01.2008;DE14;10103545;0.42;69.19;GRP;SG
570312;30.01.2008;DE14;10103919;1.18;704.847;GRP;SG
570312;30.01.2008;DE14;10105361;0.63;99.58;GRP;SG
570312;30.01.2008;DE14;10147153;0.45;96.56;GRP;SG
570314;30.01.2008;DE12;10120899;56.06;18607.976;DIR;KL
570315;30.01.2008;DE12;10099382;46;19866.724;DIR;KL
570322;30.01.2008;DE17;10099542;35.44;10048.52;DIR;TL
570322;30.01.2008;DE17;10104284;24.32;7629.96;DIR;TL
570334;30.01.2008;DE14;10101708;5.01;2159.886;GRP;TL
570334;30.01.2008;DE14;10103656;4.19;2687.568;GRP;TL
570334;30.01.2008;DE14;10104073;3.52;2778.728;GRP;TL
570335;30.01.2008;DE14;10102578;1.42;465.9;GRP;SG
570336;30.01.2008;DE14;10103931;1.12;181.17;GRP;SG
570341;30.01.2008;DE12;10105646;6.89;2925.002;GRP;TL
570342;30.01.2008;DE14;10103093;1.39;646.026;GRP;SG
570342;30.01.2008;DE14;10103750;3;1562.75;GRP;TL
570358;30.01.2008;DE14;10099355;47.99;21693.498;DIR;KL
570359;30.01.2008;DE12;10102192;65.34;18880.12;DIR;KL
570362;30.01.2008;DE12;10103347;5.33;3914.525;DIR;TL
570365;30.01.2008;DE12;10099284;50.4;17701.94;DIR;KL
570366;30.01.2008;DE14;10104284;48.24;18999.04;DIR;KL
570367;30.01.2008;DE12;10099381;48.42;21619.756;DIR;KL
570389;30.01.2008;DE12;10099450;50;21119.108;DIR;KL
570390;30.01.2008;DE12;10101745;53.75;20778.436;DIR;KL
570391;30.01.2008;DE14;10103284;46;15797.28;DIR;KL
570392;30.01.2008;DE12;10099381;30;10920;DIR;TL
570395;30.01.2008;DE12;10101995;3.63;2323.568;GRP;TL
570396;30.01.2008;DE12;10106720;6.3;2615.905;GRP;TL
570397;30.01.2008;DE14;10099474;20.25;6272.18;DIR;TL
570397;30.01.2008;DE14;10108125;19.27;4000.4;DIR;TL
570403;30.01.2008;DE14;10102058;1.62;537.81;GRP;SG
570416;30.01.2008;DE12;10099704;61;20404.936;DIR;KL
570422;30.01.2008;DE12;10103284;42;17039.476;DIR;KL
570428;30.01.2008;DE12;10099392;2.46;1069.36;GRP;TL
570428;30.01.2008;DE12;10099614;3.15;1585.106;GRP;TL
570428;30.01.2008;DE12;10100127;0.99;209.49;GRP;SG
570428;30.01.2008;DE12;10100538;0.21;89.42;GRP;SG
570428;30.01.2008;DE12;10100723;0.4;217.28;GRP;SG
570428;30.01.2008;DE12;10101661;1.37;255.46;GRP;SG
570428;30.01.2008;DE12;10103490;1.42;120.6;GRP;SG
570428;30.01.2008;DE12;10103857;0.69;213.82;GRP;SG
570428;30.01.2008;DE12;10105706;1.15;221.07;GRP;SG
570428;30.01.2008;DE12;10108378;2.65;1260.482;GRP;TL
570428;30.01.2008;DE12;10155539;1.15;498.62;GRP;SG
570431;30.01.2008;DE14;10099407;40.5;7770.544;DIR;TL
570432;30.01.2008;DE14;10099430;49;21024.12;DIR;KL
570444;30.01.2008;DE14;10099292;2.52;989.616;GRP;SG
570444;30.01.2008;DE14;10100028;1.74;279.25;GRP;SG
570444;30.01.2008;DE14;10233710;0.29;138.5;GRP;SG
570445;30.01.2008;DE12;10105280;4.82;2252.572;GRP;TL
570448;30.01.2008;DE12;10099448;49.56;20696.31;DIR;KL
570451;30.01.2008;DE14;10099242;2.62;706.77;GRP;SG
570451;30.01.2008;DE14;10099258;4.39;1486.263;GRP;TL
570451;30.01.2008;DE14;10108160;1.84;365.79;GRP;SG
570452;30.01.2008;DE12;10106695;49.05;18852.24;DIR;KL
570456;30.01.2008;DE14;10099236;4.63;2011.309;GRP;TL
570456;30.01.2008;DE14;10159531;8;4472.25;DIR;TL
570457;30.01.2008;DE12;10104264;3.46;1983.418;GRP;TL
570458;30.01.2008;DE12;10102126;4.28;654.87;GRP;SG
570458;30.01.2008;DE12;10103170;1.69;989.96;GRP;SG
570458;30.01.2008;DE12;10104360;2.31;331.32;GRP;SG
570458;30.01.2008;DE12;10104556;0.24;108.68;GRP;SG
570458;30.01.2008;DE12;10105285;2.87;1653.22;GRP;TL
570458;30.01.2008;DE12;10106101;1.86;230.89;GRP;SG
570458;30.01.2008;DE12;10106673;2.53;351.5;GRP;SG
570458;30.01.2008;DE12;10106677;2.47;303.3;GRP;SG
570458;30.01.2008;DE12;10107562;1.17;236.694;GRP;SG
570458;30.01.2008;DE12;10107847;6.04;642.8;GRP;SG
570458;30.01.2008;DE12;10210190;2.66;402.44;GRP;SG
570458;30.01.2008;DE12;10232462;0.17;90.66;GRP;SG
570461;30.01.2008;DE14;10105288;33;4514.4;DIR;TL
570462;30.01.2008;DE12;10099196;60;19641.6;DIR;KL
570463;30.01.2008;DE12;10100057;8.78;5210.231;DIR;TL
570468;30.01.2008;DE14;10100391;3.86;1754.469;GRP;TL
570468;30.01.2008;DE14;10108369;7.1;2892.736;GRP;TL
570469;30.01.2008;DE14;10099573;3.46;1732.345;GRP;TL
570469;30.01.2008;DE14;10104365;2.68;1013.12;GRP;TL
570469;30.01.2008;DE14;10105793;3;1145.1;GRP;TL
570469;30.01.2008;DE14;10107869;2.26;1211.241;GRP;TL
570472;30.01.2008;DE12;10099304;2.32;641.4;GRP;SG
570472;30.01.2008;DE12;10099622;3.15;1677.34;GRP;TL
570472;30.01.2008;DE12;10099699;0.25;34.07;GRP;SG
570472;30.01.2008;DE12;10099909;1.71;889.22;GRP;SG
570472;30.01.2008;DE12;10101185;0.5;100;GRP;SG
570472;30.01.2008;DE12;10101452;0.75;127.7;GRP;SG
570472;30.01.2008;DE12;10106317;1;558.6;GRP;SG
570472;30.01.2008;DE12;10209396;3;367.2;GRP;SG
570483;30.01.2008;DE14;10099544;1.99;756.46;GRP;SG
570483;30.01.2008;DE14;10101516;5.66;2418.099;GRP;TL
570483;30.01.2008;DE14;10103727;2.61;1212.17;GRP;TL
570483;30.01.2008;DE14;10106203;3.7;2181.468;GRP;TL
570484;30.01.2008;DE12;10101934;1.71;910.825;GRP;SG
570484;30.01.2008;DE12;10102965;4.13;2705.479;GRP;TL
570484;30.01.2008;DE12;10103196;3.3;771.23;GRP;SG
570484;30.01.2008;DE12;10103397;1.41;641.16;GRP;SG
570484;30.01.2008;DE12;10105691;0.23;117.12;GRP;SG
570491;30.01.2008;DE14;10099381;60;19641.6;DIR;KL
570492;30.01.2008;DE12;10101241;1.13;205.02;GRP;SG
570492;30.01.2008;DE12;10104438;0.2;93.82;GRP;SG
570492;30.01.2008;DE12;10105648;3.38;1748.515;GRP;TL
570492;30.01.2008;DE12;10106192;1.59;688.97;GRP;SG
570492;30.01.2008;DE12;10214897;0.72;230.03;GRP;SG
570494;30.01.2008;DE12;10106687;49;19655.76;DIR;KL
570495;30.01.2008;DE12;10101842;6;3193.6;DIR;TL
570496;30.01.2008;DE14;10099307;3.4;541.52;GRP;SG
570496;30.01.2008;DE14;10100411;1.78;963.468;GRP;SG
570496;30.01.2008;DE14;10102192;15;5317.04;DIR;TL
570496;30.01.2008;DE14;10102403;1.81;292.53;GRP;SG
570496;30.01.2008;DE14;10103861;0.97;290.4;GRP;SG
570496;30.01.2008;DE14;10104425;1.04;252.68;GRP;SG
570496;30.01.2008;DE14;10106380;2.33;1360.045;GRP;TL
570496;30.01.2008;DE14;10107085;0.25;34.07;GRP;SG
570496;30.01.2008;DE14;10107112;1.77;481.07;GRP;SG
570496;30.01.2008;DE14;10145395;0.73;115.89;GRP;SG
570496;30.01.2008;DE14;10153483;0.53;237.1;GRP;SG
570496;30.01.2008;DE14;10167071;1.72;882.006;GRP;SG
570496;30.01.2008;DE14;10177141;0.16;56.22;GRP;SG
570496;30.01.2008;DE14;10177412;0.87;602.1;GRP;SG
570496;30.01.2008;DE14;10208496;0.33;114.1;GRP;SG
570497;30.01.2008;DE17;10106687;47;21052.8;DIR;KL
570498;30.01.2008;DE17;10106687;63.2;20508.8;DIR;KL
570499;30.01.2008;DE17;10189886;0.25;40.4;GRP;SG
570501;30.01.2008;DE17;10099204;2.77;1502.9;GRP;TL
570501;30.01.2008;DE17;10099513;5.58;2687.674;GRP;TL
570502;30.01.2008;DE17;10099425;37.55;8386.66;DIR;TL
570502;30.01.2008;DE17;10159546;8;3645.3;DIR;TL
570503;30.01.2008;DE14;10099407;35;6935.2;DIR;TL
570504;30.01.2008;DE14;10108473;37;11843.208;DIR;KL
570505;30.01.2008;DE14;10102192;60;19805.88;DIR;KL
570506;30.01.2008;DE12;10099546;30.47;6689.2;DIR;TL
570508;30.01.2008;DE14;10106687;62;20851.8;DIR;KL
570510;30.01.2008;DE14;10229726;50;20009.368;DIR;KL
570513;30.01.2008;DE14;10099462;5.32;3468.48;DIR;TL
570513;30.01.2008;DE14;10099492;1.95;264;GRP;SG
570513;30.01.2008;DE14;10106831;1.5;808.806;GRP;SG
570513;30.01.2008;DE14;10107681;1.23;555.407;GRP;SG
570514;30.01.2008;DE12;10191570;4.82;1598.51;GRP;TL
570526;30.01.2008;DE17;10099548;8;1651.3;GRP;TL
570526;30.01.2008;DE17;10107849;60;19221.6;DIR;KL
570527;30.01.2008;DE17;10101745;42.44;12156.38;DIR;KL
570528;30.01.2008;DE17;10099548;62.78;18179.18;DIR;KL
570529;30.01.2008;DE17;10106136;11;4015.48;DIR;TL
570529;30.01.2008;DE17;10107515;35.49;13483.74;DIR;KL
570530;30.01.2008;DE17;10099435;7.91;3937.376;DIR;TL
570530;30.01.2008;DE17;10104040;12.37;8897.174;DIR;TL
570530;30.01.2008;DE17;10108107;6.61;2996.332;GRP;TL
570530;30.01.2008;DE17;10206121;0.31;140.48;GRP;SG
570531;30.01.2008;DE14;10101664;32.75;3576.3;DIR;TL
570548;30.01.2008;DE12;10108184;46;18099;DIR;KL
570553;30.01.2008;DE14;10099274;3.77;1391.84;GRP;TL
570563;30.01.2008;DE17;10105425;33;15930.672;DIR;KL
570566;30.01.2008;DE12;10108184;53;20639.88;DIR;KL
570567;30.01.2008;DE17;10099994;1.44;724.809;GRP;SG
570567;30.01.2008;DE17;10100168;1.09;735.616;GRP;SG
570567;30.01.2008;DE17;10210444;0.25;60;GRP;SG
570568;30.01.2008;DE14;10099670;30.94;7458.28;DIR;TL
570573;30.01.2008;DE17;10102555;40;14979.402;DIR;KL
570574;30.01.2008;DE17;10107812;25.86;8808.84;DIR;TL
570575;30.01.2008;DE17;10099193;24.21;8984.01;DIR;TL
570575;30.01.2008;DE17;10107542;12.76;3666.6;DIR;TL
570576;30.01.2008;DE17;10099453;0.5;199.4;GRP;SG
570576;30.01.2008;DE17;10099588;1.31;235.66;GRP;SG
570576;30.01.2008;DE17;10100064;0.81;160.48;GRP;SG
570576;30.01.2008;DE17;10101035;1.01;631.76;GRP;SG
570576;30.01.2008;DE17;10102688;0.7;81.4;GRP;SG
570576;30.01.2008;DE17;10103752;2;647.64;GRP;SG
570576;30.01.2008;DE17;10104382;1.27;877.555;GRP;SG
570576;30.01.2008;DE17;10107021;4.87;1488.4;GRP;TL
570577;30.01.2008;DE17;10099428;54.98;20703.988;DIR;KL
570578;30.01.2008;DE17;10099192;1.93;569;GRP;SG
570578;30.01.2008;DE17;10099211;3.97;667.83;GRP;SG
570578;30.01.2008;DE17;10099225;0.56;142.89;GRP;SG
570578;30.01.2008;DE17;10099416;6;1183.2;GRP;TL
570578;30.01.2008;DE17;10099421;1.19;562.563;GRP;SG
570578;30.01.2008;DE17;10099511;0.76;314.16;GRP;SG
570578;30.01.2008;DE17;10099590;0.39;180.7;GRP;SG
570578;30.01.2008;DE17;10099630;1;410.4;GRP;SG
570578;30.01.2008;DE17;10099717;2.31;1257.797;GRP;TL
570578;30.01.2008;DE17;10099978;0.5;54.6;GRP;SG
570578;30.01.2008;DE17;10100040;0.5;87.7;GRP;SG
570578;30.01.2008;DE17;10100294;8;2722;GRP;TL
570578;30.01.2008;DE17;10100394;1.72;838.619;GRP;SG
570578;30.01.2008;DE17;10100410;4.06;2377.488;GRP;TL
570578;30.01.2008;DE17;10100516;1.38;952.367;GRP;SG
570578;30.01.2008;DE17;10100897;1.5;401.4;GRP;SG
570578;30.01.2008;DE17;10101952;6.75;1727.87;GRP;TL
570578;30.01.2008;DE17;10102062;1.27;447.1;GRP;SG
570578;30.01.2008;DE17;10103474;0.16;81.98;GRP;SG
570578;30.01.2008;DE17;10103748;2;647.64;GRP;SG
570578;30.01.2008;DE17;10103779;1.23;302.78;GRP;SG
570578;30.01.2008;DE17;10104410;2;820.8;GRP;SG
570578;30.01.2008;DE17;10104996;0.16;57.2;GRP;SG
570578;30.01.2008;DE17;10105150;0.32;109.8;GRP;SG
570578;30.01.2008;DE17;10105265;1.47;699.307;GRP;SG
570578;30.01.2008;DE17;10105266;2.98;1506.638;GRP;TL
570578;30.01.2008;DE17;10105272;2.22;1257.289;GRP;TL
570578;30.01.2008;DE17;10106058;1.66;409.31;GRP;SG
570578;30.01.2008;DE17;10106182;0.75;165.1;GRP;SG
570578;30.01.2008;DE17;10106301;0.89;161.65;GRP;SG
570578;30.01.2008;DE17;10107035;2.12;696.96;GRP;SG
570578;30.01.2008;DE17;10107556;1.43;574.43;GRP;SG
570578;30.01.2008;DE17;10107851;0.25;49.6;GRP;SG
570578;30.01.2008;DE17;10108237;2.73;1230.59;GRP;TL
570578;30.01.2008;DE17;10157636;0.2;96.34;GRP;SG
570578;30.01.2008;DE17;10159691;0.13;51.2;GRP;SG
570578;30.01.2008;DE17;10163674;0.5;221;GRP;SG
570578;30.01.2008;DE17;10201629;0.65;177.4;GRP;SG
570578;30.01.2008;DE17;10209607;0.17;98.38;GRP;SG
570579;30.01.2008;DE17;10100368;2.56;1110.829;GRP;TL
570579;30.01.2008;DE17;10100397;3.42;1840.768;GRP;TL
570580;30.01.2008;DE17;10100373;2.2;1202.45;GRP;TL
570580;30.01.2008;DE17;10108497;1.01;303.224;GRP;SG
570581;30.01.2008;DE17;10105743;1.65;844.205;GRP;SG
570581;30.01.2008;DE17;10108132;2.73;659.62;GRP;SG
570582;30.01.2008;DE17;10100097;3.81;1991.686;GRP;TL
570582;30.01.2008;DE17;10100354;5.39;2624.758;GRP;TL
570582;30.01.2008;DE17;10105767;8;2796;GRP;TL
570583;30.01.2008;DE17;10100109;3.24;1093.032;GRP;TL
570583;30.01.2008;DE17;10100367;0.12;30.6;GRP;SG
570583;30.01.2008;DE17;10100378;1.67;869.3;GRP;SG
570583;30.01.2008;DE17;10105747;1.74;905.612;GRP;SG
570585;30.01.2008;DE17;10099238;0.49;123.9;GRP;SG
570585;30.01.2008;DE17;10099680;1.33;868.249;GRP;SG
570585;30.01.2008;DE17;10101143;1.09;610.172;GRP;SG
570585;30.01.2008;DE17;10104363;1.23;268.44;GRP;SG
570585;30.01.2008;DE17;10118094;0.73;195.2;GRP;SG
570586;30.01.2008;DE17;10099207;1.34;590.14;GRP;SG
570586;30.01.2008;DE17;10099245;4.5;1442.7;GRP;TL
570586;30.01.2008;DE17;10100118;4.64;2355.106;GRP;TL
570586;30.01.2008;DE17;10100761;4.84;2577.645;GRP;TL
570586;30.01.2008;DE17;10100806;0.95;467.62;GRP;SG
570586;30.01.2008;DE17;10106714;0.84;205.19;GRP;SG
570586;30.01.2008;DE17;10107177;0.3;63;GRP;SG
570587;30.01.2008;DE17;10100758;1.59;707.586;GRP;SG
570587;30.01.2008;DE17;10104273;0.25;151;GRP;SG
570587;30.01.2008;DE17;10106069;1.77;640.1;GRP;SG
570587;30.01.2008;DE17;10106568;5.56;2559.947;GRP;TL
570587;30.01.2008;DE17;10107007;9.34;2554.66;GRP;TL
570587;30.01.2008;DE17;10191065;0.23;112.52;GRP;SG
570587;30.01.2008;DE17;10201548;0.38;202.34;GRP;SG
570587;30.01.2008;DE17;10205697;0.17;103.5;GRP;SG
570587;30.01.2008;DE17;10205869;0.2;96.62;GRP;SG
570587;30.01.2008;DE17;10207110;0.18;70.76;GRP;SG
570587;30.01.2008;DE17;10208271;0.28;158.82;GRP;SG
570588;30.01.2008;DE17;10105467;55.89;20472.1;DIR;KL
570589;30.01.2008;DE17;10099478;0.96;424.166;GRP;SG
570589;30.01.2008;DE17;10106489;1.31;644.289;GRP;SG
570590;30.01.2008;DE17;10099433;6.82;4625.111;DIR;TL
570591;30.01.2008;DE17;10099414;1;553.7;GRP;SG
570591;30.01.2008;DE17;10104284;10;3289.6;DIR;TL
570591;30.01.2008;DE17;10105738;2.85;1209.31;GRP;TL
570591;30.01.2008;DE17;10106774;2.7;1543.211;GRP;TL
570592;30.01.2008;DE17;10099450;6;2400;GRP;TL
570592;30.01.2008;DE17;10099501;2.92;946.02;GRP;SG
570592;30.01.2008;DE17;10099532;6.16;3102.42;DIR;TL
570592;30.01.2008;DE17;10102348;0.36;87.78;GRP;SG
570592;30.01.2008;DE17;10105625;2.44;1067.72;GRP;TL
570593;30.01.2008;DE17;10099226;0.57;167.81;GRP;SG
570593;30.01.2008;DE17;10103705;2.21;1476.032;GRP;TL
570593;30.01.2008;DE17;10106020;2.13;1068.215;GRP;TL
570593;30.01.2008;DE17;10106154;0.83;146.3;GRP;SG
570593;30.01.2008;DE17;10205763;1.5;163.2;GRP;SG
570594;30.01.2008;DE17;10106276;1.28;551.417;GRP;SG
570594;30.01.2008;DE17;10107110;1.7;747.39;GRP;SG
570595;30.01.2008;DE17;10100050;2.98;1548.655;GRP;TL
570595;30.01.2008;DE17;10100377;5.06;2661.03;GRP;TL
570596;30.01.2008;DE14;10104377;9.37;3473.1;DIR;TL
570613;30.01.2008;DE14;10099565;2.42;1282.749;GRP;TL
570613;30.01.2008;DE14;10099589;1.52;823.793;GRP;SG
570613;30.01.2008;DE14;10100164;1.25;255.7;GRP;SG
570614;30.01.2008;DE14;10099725;1.36;778.772;GRP;SG
570614;30.01.2008;DE14;10100315;1.86;928.282;GRP;SG
570614;30.01.2008;DE14;10101210;1.06;560.561;GRP;SG
570614;30.01.2008;DE14;10108145;1.9;311.75;GRP;SG
570617;30.01.2008;DE12;10099623;1.15;503.3;GRP;SG
570617;30.01.2008;DE12;10105284;1.28;683.714;GRP;SG
570617;30.01.2008;DE12;10121488;15;4575.56;DIR;TL
570619;30.01.2008;DE12;10099389;51.35;20094.534;DIR;KL
570623;30.01.2008;DE14;10099432;39;16069.596;DIR;KL
570624;30.01.2008;DE14;10108357;62.13;20854.39;DIR;KL
570625;30.01.2008;DE14;10099277;4.22;2084.515;GRP;TL
570625;30.01.2008;DE14;10100595;0.22;119.14;GRP;SG
570625;30.01.2008;DE14;10100660;0.21;107.44;GRP;SG
570625;30.01.2008;DE14;10105665;2.64;1331.866;GRP;TL
570625;30.01.2008;DE14;10105720;5.5;2368.908;GRP;TL
570625;30.01.2008;DE14;10137258;0.33;330.6;GRP;SG
570626;30.01.2008;DE14;10099291;4.14;2520.24;GRP;TL
570626;30.01.2008;DE14;10099504;1.46;884.383;GRP;SG
570626;30.01.2008;DE14;10099618;3.06;1485.59;GRP;TL
570626;30.01.2008;DE14;10100782;1.12;251.03;GRP;SG
570626;30.01.2008;DE14;10103460;0.33;56.9;GRP;SG
570626;30.01.2008;DE14;10104811;6.75;1077.3;GRP;TL
570626;30.01.2008;DE14;10106299;6.32;2325.22;GRP;TL
570626;30.01.2008;DE14;10107958;0.16;84.7;GRP;SG
570626;30.01.2008;DE14;10214812;0.21;105.14;GRP;SG
